"productdescription","productcategory","country","average_cost"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Anguilla","170.00"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Monaco","158.06"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Bermuda","150.00"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Turkmenistan","131.43"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Faroe Islands","108.08"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Jersey","104.55"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Switzerland","102.85"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Bahamas","100.00"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Sint Maarten","100.00"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Barbados","97.83"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Liechtenstein","97.04"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Antigua And Barbuda","92.51"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Saint Kitts And Nevis","92.51"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Iceland","89.16"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Norway","87.28"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Denmark","87.18"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Curacao","83.18"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Gabon","80.32"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Israel","80.26"
"Meal for 2 People, Mid-range Restaurant, Three-course","food","Gibraltar","79.95"
